target_A,L_nH,Ron,Roff,step,status,pass,peak_V,Ioff1_A,Ion2_A,Ioff2_A,name,error
15,5,3.5,0.5,500p,ok,True,91.56620995770768,14.976683568283127,14.719219118499826,18.35489104421675,I15_L5_on3.5_off0.5_500p_search,
15,5,3.5,0.5,250p,ok,False,103.8622513299456,14.976686323734668,14.718824708621506,18.356606114550868,I15_L5_on3.5_off0.5_250p_verification,
15,5,0.5,4.0,500p,ok,False,104.97775378017276,15.023719722497585,14.802129364735054,18.493377030118925,I15_L5_on0.5_off4_500p_search,
15,5,1.0,3.5,500p,ok,False,102.43708426221713,15.015712500708103,14.788647311591644,18.471067910495464,I15_L5_on1_off3.5_500p_search,
15,5,1.5,3.0,500p,ok,False,101.26774548552028,15.007786107678761,14.775530937278733,18.44876912742302,I15_L5_on1.5_off3_500p_search,
15,5,2.0,2.5,500p,ok,False,100.61665698679953,14.999937018818702,14.762324341152448,18.426065567306367,I15_L5_on2_off2.5_500p_search,
15,5,2.5,2.0,500p,ok,False,100.42538012249751,14.992144486207305,14.749245873816035,18.40348249803331,I15_L5_on2.5_off2_500p_search,
15,5,3.0,1.5,500p,ok,False,101.17326309757301,14.984397815818548,14.73665054570312,18.38160734699731,I15_L5_on3_off1.5_500p_search,
15,5,3.5,1.0,500p,ok,False,101.672202449175,14.976683043834864,14.723836585296596,18.35951041075482,I15_L5_on3.5_off1_500p_search,
15,5,4.0,0.5,500p,ok,True,89.0011850196148,14.969000022453654,14.711492012576107,18.337864000623934,I15_L5_on4_off0.5_500p_search,
15,5,4.0,0.5,250p,ok,False,104.61374860421988,14.968996954250652,14.711446510676398,18.337755387577428,I15_L5_on4_off0.5_250p_verification,
15,5,0.5,4.5,500p,ok,False,109.57098385470593,15.02371996064791,14.807664948427547,18.498908040478877,I15_L5_on0.5_off4.5_500p_search,
15,5,1.0,4.0,500p,ok,False,104.70737016615593,15.015713924267255,14.794152598947695,18.476540529848066,I15_L5_on1_off4_500p_search,
