frequency_hz,parallel_per_bank,total_devices,phase_voltage_rms_v,line_voltage_rms_v,phase_current_rms_a,peak_device_a,conduction_w,overlap_w,coss_w,deadtime_w,gate_drive_w,fet_loss_w,total_modeled_loss_w,efficiency_estimate_pct,hottest_device_w,junction_estimate_c,required_max_sink_k_per_w,loss_budget_w,remaining_other_loss_budget_w,minimum_pulse_margin_ns,passes_screen,failed_constraints
22000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,4.567054888723955,2.112,0.974305042927777,0.11220000000000001,49.24126163297499,49.35346163297499,99.73747255865104,1.9696504653189995,66.3028814890208,1.2920311658235821,94.22110552763652,44.86764389466153,62.51785563399198,True,
23000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,4.774648292756861,2.208,1.0185916357881304,0.1173,49.58914162986825,49.70644162986825,99.73559990532726,1.98356566519473,66.34741012862314,1.2827708232813928,94.22110552763652,44.51466389776827,58.4953401716445,True,
24000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,4.982241696789768,2.3040000000000003,1.062878228648484,0.12240000000000001,49.93702162676152,50.05942162676152,99.73372732232339,1.9974808650704605,66.39193876822549,1.273639502768546,94.22110552763652,44.161683900875005,54.80803433115931,True,
25000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,5.189835100822675,2.4,1.1071648215088374,0.1275,50.284901623654775,50.41240162365477,99.73185480963544,2.011396064946191,66.4364674078278,1.264634526492203,94.22110552763652,43.80870390398175,51.41571295791294,True,
26000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,5.397428504855583,2.496,1.151451414369191,0.1326,50.63278162054804,50.765381620548034,99.7299823672595,2.0253112648219216,66.48099604743014,1.2557532902522066,94.22110552763652,43.45572390708849,48.28433938260859,True,
27000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,5.60502190888849,2.592,1.1957380072295445,0.13770000000000002,50.98066161744129,51.118361617441295,99.72810999519156,2.0392264646976517,66.52552468703249,1.246993260930189,94.22110552763652,43.10274391019523,45.38491940547494,True,
28000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,5.812615312921396,2.688,1.240024600089898,0.1428,51.328541614334554,51.471341614334555,99.72623769342769,2.053141664573382,66.57005332663482,1.2383519740807793,94.22110552763652,42.74976391330197,42.69260085527941,True,
29000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,6.020208716954303,2.7840000000000003,1.2843111929502515,0.1479,51.67642161122781,51.82432161122781,99.72436546196393,2.0670568644491123,66.61458196623717,1.2298270316201105,94.22110552763652,42.396783916408715,40.18595944647667,True,
30000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,6.22780212098721,2.88,1.3285977858106048,0.153,52.02430160812108,52.17730160812108,99.7224933007963,2.080972064324843,66.6591106058395,1.2214160996070613,94.22110552763652,42.04380391951545,37.846427464927444,True,
31000.0,5,30,30.49397993866986,52.81712257876227,204.95848730044858,57.97101449275364,41.58790170132326,6.435395525020118,2.976,1.3728843786709584,0.15810000000000002,52.37218160501434,52.53028160501434,99.72062120992085,2.0948872642005734,66.70363924544185,1.2131169061129319,94.22110552763652,41.69082392262219,35.657833030574956,True,
