Freq.	I(C1)	I(C2)	I(C3)	I(C4)
2.17867867867868e+04	-2.50394968284771e-01,1.21330237799989e-03	-2.48875765112186e-01,-3.04223108250301e-03	-2.49513607512878e-01,-1.02748871374549e-03	-2.50301155763500e-01,3.00927873848678e-03
2.19819819819820e+04	-2.50409845903707e-01,1.23154868841190e-03	-2.48858755624528e-01,-3.08638725785415e-03	-2.49509999997996e-01,-1.04279187153075e-03	-2.50312911433164e-01,3.05186832540040e-03
2.21771771771772e+04	-2.50424944227520e-01,1.25007635388520e-03	-2.48841505580900e-01,-3.13117087651588e-03	-2.49506347459714e-01,-1.05832265944769e-03	-2.50324785822626e-01,3.09503177102328e-03
2.23723723723724e+04	-2.50440266181315e-01,1.26889294587100e-03	-2.48824012709309e-01,-3.17659788874575e-03	-2.49502649966679e-01,-1.07408691368472e-03	-2.50336778214762e-01,3.13878329265177e-03
2.25675675675676e+04	-2.50455814738253e-01,1.28800628059971e-03	-2.48806274751016e-01,-3.22268472997624e-03	-2.49498907626788e-01,-1.09009064800727e-03	-2.50348887791906e-01,3.18313752556568e-03
2.27627627627628e+04	-2.50471592918784e-01,1.30742442879217e-03	-2.48788289465684e-01,-3.26944833916952e-03	-2.49495120590546e-01,-1.10634006037242e-03	-2.50361113628116e-01,3.22810953828834e-03
2.29579579579580e+04	-2.50487603790925e-01,1.32715572596661e-03	-2.48770054635339e-01,-3.31690617816159e-03	-2.49491289053953e-01,-1.12284153993079e-03	-2.50373454682045e-01,3.27371484862613e-03
2.31531531531532e+04	-2.50503850469186e-01,1.34720878306631e-03	-2.48751568069577e-01,-3.36507625175922e-03	-2.49487413262307e-01,-1.13960167422540e-03	-2.50385909789005e-01,3.31996944033634e-03
2.33483483483484e+04	-2.50520336114788e-01,1.36759249775950e-03	-2.48732827610335e-01,-3.41397712882438e-03	-2.49483493513912e-01,-1.15662725674885e-03	-2.50398477652268e-01,3.36688978047328e-03
2.35435435435436e+04	-2.50537063934974e-01,1.38831606616089e-03	-2.48713831138068e-01,-3.46362796417790e-03	-2.49479530164071e-01,-1.17392529481420e-03	-2.50411156833583e-01,3.41449283743855e-03
2.37387387387388e+04	-2.50554037181604e-01,1.40938899505138e-03	-2.48694576577920e-01,-3.51404852155140e-03	-2.49475523629626e-01,-1.19150301773571e-03	-2.50423945743867e-01,3.46279609989966e-03
2.39339339339340e+04	-2.50571259151115e-01,1.43082111485175e-03	-2.48675061906092e-01,-3.56525919760343e-03	-2.49471474393665e-01,-1.20936788537695e-03	-2.50436842632175e-01,3.51181759637855e-03
2.41291291291292e+04	-2.50588733182549e-01,1.45262259300547e-03	-2.48655285157536e-01,-3.61728104693638e-03	-2.49467383009955e-01,-1.22752759715146e-03	-2.50449845575535e-01,3.56157591588922e-03
2.43243243243244e+04	-2.50606462657240e-01,1.47480394822514e-03	-2.48635244433581e-01,-3.67013580831942e-03	-2.49463250108651e-01,-1.24599010128322e-03	-2.50462952465933e-01,3.61209022917503e-03
2.45195195195196e+04	-2.50624450996231e-01,1.49737606516784e-03	-2.48614937910455e-01,-3.72384593209300e-03	-2.49459076402520e-01,-1.26476360445588e-03	-2.50476160998139e-01,3.66338031108919e-03
2.47147147147148e+04	-2.50642701659190e-01,1.52035021004750e-03	-2.48594363848610e-01,-3.77843460881449e-03	-2.49454862691885e-01,-1.28385658211451e-03	-2.50489468656528e-01,3.71546656393089e-03
