Freq.	I(C1)	I(C2)	I(C3)	I(C4)
4.70019390787815e+02	-2.49688132157014e-01,-1.24879722593608e-05	-2.49687605092940e-01,-1.95179595921331e-05	-2.49687849593025e-01,1.27532292708190e-05	-2.49688097551592e-01,1.81413601993423e-05
4.80019590591811e+02	-2.49688142896432e-01,-1.27092538062116e-05	-2.49687593165117e-01,-1.98888870295492e-05	-2.49687848174809e-01,1.30690624284098e-05	-2.49688106796846e-01,1.85718793742438e-05
4.90019790395807e+02	-2.49688153862001e-01,-1.29314347055623e-05	-2.49687580986069e-01,-2.02607185492900e-05	-2.49687846726683e-01,1.33840012415533e-05	-2.49688116236762e-01,1.90015071972356e-05
5.00019990199803e+02	-2.49688165053732e-01,-1.31544615448093e-05	-2.49687568555793e-01,-2.06334008374189e-05	-2.49687845248647e-01,1.36980992272523e-05	-2.49688125871350e-01,1.94302972476734e-05
5.10020190003799e+02	-2.49688176471616e-01,-1.33782844676464e-05	-2.49687555874270e-01,-2.10068841362630e-05	-2.49687843740687e-01,1.40114063461562e-05	-2.49688135700598e-01,1.98582995487111e-05
5.20020389807795e+02	-2.49688188115689e-01,-1.36028578622612e-05	-2.49687542941523e-01,-2.13811229326209e-05	-2.49687842202829e-01,1.43239683145365e-05	-2.49688145724539e-01,2.02855598789133e-05
5.30020589611792e+02	-2.49688199985944e-01,-1.38281394073510e-05	-2.49687529757534e-01,-2.17560750039465e-05	-2.49687840635061e-01,1.46358275579716e-05	-2.49688155943165e-01,2.07121207264376e-05
5.40020789415788e+02	-2.49688212082394e-01,-1.40540899346476e-05	-2.49687516322302e-01,-2.21317012805410e-05	-2.49687839037385e-01,1.49470233492364e-05	-2.49688166356487e-01,2.11380214263145e-05
5.50020989219784e+02	-2.49688224405023e-01,-1.42806730497107e-05	-2.49687502635799e-01,-2.25079654667294e-05	-2.49687837409779e-01,1.52575921870791e-05	-2.49688176964487e-01,2.15632985397910e-05
5.60021189023780e+02	-2.49688236953855e-01,-1.45078549148844e-05	-2.49687488698036e-01,-2.28848338234932e-05	-2.49687835752257e-01,1.55675680135538e-05	-2.49688187767184e-01,2.19879860714133e-05
5.70021388827776e+02	-2.49688249728911e-01,-1.47356046378103e-05	-2.49687474509021e-01,-2.32622755571964e-05	-2.49687834064833e-01,1.58769818253887e-05	-2.49688198764599e-01,2.24121150802680e-05
5.80021588631772e+02	-2.49688262730158e-01,-1.49638925107475e-05	-2.49687460068710e-01,-2.36402610587307e-05	-2.49687832347465e-01,1.61858634348465e-05	-2.49688209956696e-01,2.28357154410856e-05
5.90021788435768e+02	-2.49688275957624e-01,-1.51926915349022e-05	-2.49687445377114e-01,-2.40187634280942e-05	-2.49687830600171e-01,1.64942399450010e-05	-2.49688221343501e-01,2.32588143193866e-05
