Freq.	I(C1)	I(C2)	I(C3)	I(C4)
1.30012597451949e+02	-2.49687897047743e-01,-1.56062855512931e-05	-2.49687867287247e-01,-2.77095210987109e-07	-2.49687882415462e-01,8.44466088204931e-06	-2.49687894339279e-01,-6.91108080326740e-06
1.40012797255945e+02	-2.49687899442080e-01,-1.62406342358952e-05	-2.49687864889851e-01,2.67650876736571e-07	-2.49687882413528e-01,9.66027196502770e-06	-2.49687896279700e-01,-6.87660834639121e-06
1.50012997059941e+02	-2.49687902011601e-01,-1.69113236053847e-05	-2.49687862312706e-01,7.76060052738628e-07	-2.49687882409276e-01,1.08395488656996e-05	-2.49687898361679e-01,-6.87847420046306e-06
1.60013196863937e+02	-2.49687904756720e-01,-1.76115405425929e-05	-2.49687859556224e-01,1.25494570372545e-06	-2.49687882403121e-01,1.19893051657060e-05	-2.49687900585634e-01,-6.90986507877089e-06
1.70013396667933e+02	-2.49687907677673e-01,-1.83360754826807e-05	-2.49687856620636e-01,1.70951766404492e-06	-2.49687882395294e-01,1.31147508943665e-05	-2.49687902951797e-01,-6.96557124689318e-06
1.80013596471929e+02	-2.49687910774698e-01,-1.90808765368600e-05	-2.49687853506177e-01,2.14382809201088e-06	-2.49687882386031e-01,1.42199384049825e-05	-2.49687905460406e-01,-7.04154064646205e-06
1.90013796275926e+02	-2.49687914047897e-01,-1.98427446784694e-05	-2.49687850212943e-01,2.56107628379871e-06	-2.49687882375429e-01,1.53080671886525e-05	-2.49687908111562e-01,-7.13457408125094e-06
2.00013996079922e+02	-2.49687917497429e-01,-2.06191213841996e-05	-2.49687846741092e-01,2.96382103225263e-06	-2.49687882363648e-01,1.63816962332161e-05	-2.49687910905425e-01,-7.24211285837878e-06
2.10014195883918e+02	-2.49687921123340e-01,-2.14079340187079e-05	-2.49687843090662e-01,3.35413524222910e-06	-2.49687882350727e-01,1.74428986385321e-05	-2.49687913842037e-01,-7.36208417291502e-06
2.20014395687914e+02	-2.49687924925751e-01,-2.22074885637797e-05	-2.49687839261772e-01,3.73371320148093e-06	-2.49687882336784e-01,1.84933688872876e-05	-2.49687916921521e-01,-7.49279383706523e-06
2.30014595491910e+02	-2.49687928904645e-01,-2.30163840768596e-05	-2.49687835254399e-01,4.10395612210517e-06	-2.49687882321800e-01,1.95345083865665e-05	-2.49687920143858e-01,-7.63284073870471e-06
2.40014795295906e+02	-2.49687933060121e-01,-2.38334540802109e-05	-2.49687831068635e-01,4.46603075138886e-06	-2.49687882305868e-01,2.05674840786811e-05	-2.49687923509146e-01,-7.78105823049280e-06
2.50014995099902e+02	-2.49687937392169e-01,-2.46577189926726e-05	-2.49687826704467e-01,4.82091694000583e-06	-2.49687882288976e-01,2.15932760092293e-05	-2.49687927017373e-01,-7.93646656167341e-06
2.60015194903898e+02	-2.49687941900868e-01,-2.54883488016021e-05	-2.49687822161968e-01,5.16944497015945e-06	-2.49687882271197e-01,2.26127146554581e-05	-2.49687930668620e-01,-8.09823555003326e-06
2.70015394707894e+02	-2.49687946586235e-01,-2.63246376422419e-05	-2.49687817441148e-01,5.51232097615459e-06	-2.49687882252544e-01,2.36265063466499e-05	-2.49687934462899e-01,-8.26565916120972e-06
2.80015594511890e+02	-2.49687951448250e-01,-2.71659797964083e-05	-2.49687812541981e-01,5.85015094575671e-06	-2.49687882232993e-01,2.46352572655825e-05	-2.49687938400192e-01,-8.43813150741866e-06
2.90015794315886e+02	-2.49687956486976e-01,-2.80118535545188e-05	-2.49687807464523e-01,6.18345685809705e-06	-2.49687882212601e-01,2.56394895863739e-05	-2.49687942480559e-01,-8.61513070945429e-06
3.00015994119882e+02	-2.49687961702409e-01,-2.88618066315269e-05	-2.49687802208766e-01,6.51269126776324e-06	-2.49687882191362e-01,2.66396560586495e-05	-2.49687946703996e-01,-8.79620431270203e-06
3.10016193923878e+02	-2.49687967094565e-01,-2.97154450062539e-05	-2.49687796774716e-01,6.83824846554117e-06	-2.49687882169283e-01,2.76361511681964e-05	-2.49687951070516e-01,-8.98095812635810e-06
3.20016393727874e+02	-2.49687972663456e-01,-3.05724242584169e-05	-2.49687791162380e-01,7.16047314126578e-06	-2.49687882146373e-01,2.86293197998823e-05	-2.49687955580133e-01,-9.16904756050329e-06
3.30016593531870e+02	-2.49687978409117e-01,-3.14324413871261e-05	-2.49687785371784e-01,7.47966856544282e-06	-2.49687882122661e-01,2.96194654192348e-05	-2.49687960232876e-01,-9.36016944465029e-06
3.40016793335867e+02	-2.49687984331494e-01,-3.22952290677932e-05	-2.49687779402868e-01,7.79610233223762e-06	-2.49687882098087e-01,3.06068558154565e-05	-2.49687965028693e-01,-9.55405628455880e-06
3.50016993139863e+02	-2.49687990430631e-01,-3.31605509752092e-05	-2.49687773255667e-01,8.11001103643866e-06	-2.49687882072691e-01,3.15917277783518e-05	-2.49687969967626e-01,-9.75047158544042e-06
3.60017192943859e+02	-2.49687996706589e-01,-3.40281966162958e-05	-2.49687766930235e-01,8.42160544075891e-06	-2.49687882046526e-01,3.25742922657128e-05	-2.49687975049734e-01,-9.94920468453604e-06
3.70017392747855e+02	-2.49688003159313e-01,-3.48979787227424e-05	-2.49687760426508e-01,8.73107308308157e-06	-2.49687882019531e-01,3.35547370104534e-05	-2.49687980274961e-01,-1.01500681439172e-05
3.80017592551851e+02	-2.49688009788833e-01,-3.57697291423763e-05	-2.49687753744508e-01,9.03858238522948e-06	-2.49687881991731e-01,3.45332306294687e-05	-2.49687985643335e-01,-1.03528936417743e-05
3.90017792355847e+02	-2.49688016595114e-01,-3.66432974431164e-05	-2.49687746884190e-01,9.34428404889746e-06	-2.49687881963083e-01,3.55099240195029e-05	-2.49687991154819e-01,-1.05575305763467e-05
4.00017992159843e+02	-2.49688023578235e-01,-3.75185482899840e-05	-2.49687739845626e-01,9.64831367865823e-06	-2.49687881933660e-01,3.64849529802370e-05	-2.49687996809492e-01,-1.07638434430726e-05
4.10018191963839e+02	-2.49688030738162e-01,-3.83953593555642e-05	-2.49687732628771e-01,9.95079387166719e-06	-2.49687881903421e-01,3.74584403038520e-05	-2.49688002607316e-01,-1.09717097447674e-05
4.20018391767835e+02	-2.49688038074917e-01,-3.92736200537551e-05	-2.49687725233639e-01,1.02518354835594e-05	-2.49687881872382e-01,3.84304970411085e-05	-2.49688008548313e-01,-1.11810187257809e-05
4.30018591571831e+02	-2.49688045588474e-01,-4.01532302269212e-05	-2.49687717660193e-01,1.05515389416650e-05	-2.49687881840508e-01,3.94012238144365e-05	-2.49688014632455e-01,-1.13916700587520e-05
4.40018791375827e+02	-2.49688053278892e-01,-4.10340985765600e-05	-2.49687709908483e-01,1.08499958141889e-05	-2.49687881807852e-01,4.03707123870820e-05	-2.49688020859798e-01,-1.16035722754551e-05
4.50018991179823e+02	-2.49688061146153e-01,-4.19161421670440e-05	-2.49687701978480e-01,1.11472893063425e-05	-2.49687881774389e-01,4.13390461594454e-05	-2.49688027230324e-01,-1.18166422706797e-05
