Freq.	I(C1)	I(C2)	I(C3)	I(C4)
5.70021388827776e+02	-2.49688296849205e-01,2.28282599265534e-05	-2.49687409468701e-01,-6.15939430964788e-05	-2.49687782232096e-01,-2.09806873060157e-05	-2.49688269296351e-01,6.02593089002180e-05
5.80021588631772e+02	-2.49688311518874e-01,2.32591739985791e-05	-2.49687392736650e-01,-6.26446065739511e-05	-2.49687778690369e-01,-2.13186172173254e-05	-2.49688282985560e-01,6.13470864724385e-05
5.90021788435768e+02	-2.49688326443771e-01,2.36895872551290e-05	-2.49687375713480e-01,-6.36957975985738e-05	-2.49687775087015e-01,-2.16570625270153e-05	-2.49688296912902e-01,6.24343731413311e-05
6.00021988239764e+02	-2.49688341623879e-01,2.41195252469838e-05	-2.49687358399163e-01,-6.47474910810027e-05	-2.49687771422011e-01,-2.19959979359377e-05	-2.49688311078358e-01,6.35211946288581e-05
6.10022188043760e+02	-2.49688357059250e-01,2.45490118647329e-05	-2.49687340793738e-01,-6.57996635920888e-05	-2.49687767695403e-01,-2.23353998053558e-05	-2.49688325481980e-01,6.46075749965707e-05
6.20022387847757e+02	-2.49688372749834e-01,2.49780696015815e-05	-2.49687322897142e-01,-6.68522931000243e-05	-2.49687763907131e-01,-2.26752458937056e-05	-2.49688340123713e-01,6.56935369087778e-05
6.30022587651753e+02	-2.49688388695652e-01,2.54067192336792e-05	-2.49687304709381e-01,-6.79053592902370e-05	-2.49687760057208e-01,-2.30155156766679e-05	-2.49688355003577e-01,6.67791013127244e-05
6.40022787455749e+02	-2.49688404896736e-01,2.58349805888688e-05	-2.49687286230476e-01,-6.89588427962910e-05	-2.49687756145660e-01,-2.33561895781425e-05	-2.49688370121601e-01,6.78642882073186e-05
6.50022987259745e+02	-2.49688421353077e-01,2.62628719520893e-05	-2.49687267460405e-01,-7.00127257948521e-05	-2.49687752172471e-01,-2.36972495649860e-05	-2.49688385477774e-01,6.89491160486563e-05
6.60023187063741e+02	-2.49688438064658e-01,2.66904107886630e-05	-2.49687248399136e-01,-7.10669912821475e-05	-2.49687748137614e-01,-2.40386784236451e-05	-2.49688401072076e-01,7.00336024731227e-05
6.70023386867737e+02	-2.49688455031518e-01,2.71176133929202e-05	-2.49687229046696e-01,-7.21216234254037e-05	-2.49687744041121e-01,-2.43804601117223e-05	-2.49688416904545e-01,7.11177639462738e-05
6.80023586671733e+02	-2.49688472253649e-01,2.75444950745358e-05	-2.49687209403060e-01,-7.31766073766652e-05	-2.49687739882976e-01,-2.47225795713024e-05	-2.49688432975168e-01,7.22016159487640e-05
6.90023786475729e+02	-2.49688489731071e-01,2.79710703353850e-05	-2.49687189468236e-01,-7.42319290956654e-05	-2.49687735663189e-01,-2.50650225524157e-05	-2.49688449283964e-01,7.32851731536652e-05
7.00023986279725e+02	-2.49688507463761e-01,2.83973529119511e-05	-2.49687169242186e-01,-7.52875753075840e-05	-2.49687731381731e-01,-2.54077755704372e-05	-2.49688465830908e-01,7.43684494686854e-05
7.10024186083722e+02	-2.49688525451756e-01,2.88233556221538e-05	-2.49687148724931e-01,-7.63435336562577e-05	-2.49687727038628e-01,-2.57508260593259e-05	-2.49688482616033e-01,7.54514578827622e-05
7.20024385887718e+02	-2.49688543695063e-01,2.92490906567530e-05	-2.49687127916466e-01,-7.73997924126233e-05	-2.49687722633880e-01,-2.60941620802862e-05	-2.49688499639345e-01,7.65342107579624e-05
7.30024585691714e+02	-2.49688562193658e-01,2.96745695915040e-05	-2.49687106816749e-01,-7.84563404627785e-05	-2.49687718167454e-01,-2.64377723094166e-05	-2.49688516900816e-01,7.76167198411117e-05
7.40024785495710e+02	-2.49688580947562e-01,3.00998033370759e-05	-2.49687085425786e-01,-7.95131673577786e-05	-2.49687713639361e-01,-2.67816460880523e-05	-2.49688534400463e-01,7.86989962142493e-05
7.50024985299706e+02	-2.49688599956787e-01,3.05248022360698e-05	-2.49687063743575e-01,-8.05702632169662e-05	-2.49687709049604e-01,-2.71257733255292e-05	-2.49688552138296e-01,7.97810503909753e-05
7.60025185103702e+02	-2.49688619221378e-01,3.09495759669768e-05	-2.49687041770145e-01,-8.16276188236935e-05	-2.49687704398221e-01,-2.74701445954014e-05	-2.49688570114360e-01,8.08628922210716e-05
7.70025384907698e+02	-2.49688638741278e-01,3.13741339907975e-05	-2.49687019505422e-01,-8.26852251788849e-05	-2.49687699685143e-01,-2.78147506886530e-05	-2.49688588328592e-01,8.19445313367342e-05
7.80025584711694e+02	-2.49688658516499e-01,3.17984851590854e-05	-2.49686996949402e-01,-8.37430738928747e-05	-2.49687694910374e-01,-2.81595830056660e-05	-2.49688606781001e-01,8.30259767607515e-05
