Freq.	I(C1)	I(C2)	I(C3)	I(C4)
9.90029780595613e+02	1.42892115777893e-02,-5.19412177546098e-03	1.42911243594337e-02,-5.22206838649533e-03	1.42853309599920e-02,-5.08237015220094e-03	1.42851627612173e-02,-5.03314688442459e-03
1.00002998039961e+03	1.45962165500134e-02,-5.25981072913883e-03	1.45981673190107e-02,-5.28805540343828e-03	1.45922526279228e-02,-5.14685748141307e-03	1.45920831563195e-02,-5.09709209317760e-03
1.01003018020360e+03	1.49070290199715e-02,-5.32594718512419e-03	1.49090181208075e-02,-5.35449043488072e-03	1.49029807671684e-02,-5.21178993721979e-03	1.49028101042194e-02,-5.16148096815424e-03
1.02003038000760e+03	1.52216732112854e-02,-5.39253829888946e-03	1.52237009871337e-02,-5.42138064337213e-03	1.52175395952502e-02,-5.27717464167324e-03	1.52173678257701e-02,-5.22632061112467e-03
1.03003057981160e+03	1.55401737282671e-02,-5.45959132414710e-03	1.55422405209653e-02,-5.48873328977014e-03	1.55359537102979e-02,-5.34301881472697e-03	1.55357809224944e-02,-5.29161822156275e-03
1.04003077961559e+03	1.58625555609854e-02,-5.52711361486922e-03	1.58646617110106e-02,-5.55655573526126e-03	1.58582480961143e-02,-5.40932977624929e-03	1.58580743816507e-02,-5.35738109865586e-03
1.05003097941959e+03	1.61888440904326e-02,-5.59511262734846e-03	1.61909899368769e-02,-5.62485544342307e-03	1.61844481273418e-02,-5.47611494807789e-03	1.61842735814009e-02,-5.42361664335588e-03
1.06003117922359e+03	1.65190650937971e-02,-5.66359592230269e-03	1.65212509743422e-02,-5.69363998233003e-03	1.65145795747342e-02,-5.54338185611814e-03	1.65144042960830e-02,-5.49033236047400e-03
1.07003137902758e+03	1.68532447498406e-02,-5.73257116702362e-03	1.68554710007326e-02,-5.76291702670353e-03	1.68486686105337e-02,-5.61113813248528e-03	1.68484927015888e-02,-5.55753586081895e-03
1.08003157883158e+03	1.71914096443856e-02,-5.80204613757080e-03	1.71936766004084e-02,-5.83269436010710e-03	1.71867418139566e-02,-5.67939151769172e-03	1.71865653808523e-02,-5.62523486338084e-03
1.09003177863557e+03	1.75335867759124e-02,-5.87202872101333e-03	1.75358947703614e-02,-5.90297987718940e-03	1.75288261767902e-02,-5.74814986288203e-03	1.75286493294462e-02,-5.69343719756197e-03
1.10003197843957e+03	1.78798035612686e-02,-5.94252691771863e-03	1.78821529259237e-02,-5.97378158597443e-03	1.78749491091018e-02,-5.81742113211495e-03	1.78747719612931e-02,-5.76215080545526e-03
1.11003217824357e+03	1.82300878414955e-02,-6.01354884369051e-03	1.82324789065938e-02,-6.04510761020089e-03	1.82251384450639e-02,-5.88721340469436e-03	1.82249611144915e-02,-5.83138374417097e-03
1.12003237804756e+03	1.85844678877715e-02,-6.08510273295750e-03	1.85869009819788e-02,-6.11696619171192e-03	1.85794224488967e-02,-5.95753487755064e-03	1.85792450572603e-02,-5.90114418821420e-03
1.13003257785156e+03	1.89429724074740e-02,-6.15719694001484e-03	1.89454478578567e-02,-6.18936569289853e-03	1.89378298209299e-02,-6.02839386767529e-03	1.89376524940010e-02,-5.97144043191538e-03
1.14003277765555e+03	1.93056305503682e-02,-6.22983994231602e-03	1.93081486823642e-02,-6.26231459919253e-03	1.93003897037899e-02,-6.09979881460525e-03	1.93002125714871e-02,-6.04228089191029e-03
1.15003297745955e+03	1.96724719149162e-02,-6.30304034282352e-03	1.96750330523054e-02,-6.33582152161877e-03	1.96671316887089e-02,-6.17175828296601e-03	1.96669548851739e-02,-6.11367410967897e-03
1.16003317726355e+03	2.00435265547174e-02,-6.37680687261171e-03	2.00461310195912e-02,-6.40989519939949e-03	2.00380858219637e-02,-6.24428096506700e-03	2.00379094856395e-02,-6.18562875413683e-03
1.17003337706754e+03	2.04188249850798e-02,-6.45114839352883e-03	2.04214730978108e-02,-6.48454450261792e-03	2.04132826114469e-02,-6.31737568355568e-03	2.04131068851567e-02,-6.25815362428428e-03
1.18003357687154e+03	2.07983981897228e-02,-6.52607390091815e-03	2.08010902689334e-02,-6.55977843494077e-03	2.07927530333683e-02,-6.39105139413082e-03	2.07925780643967e-02,-6.33125765191543e-03
1.19003377667553e+03	2.11822776276166e-02,-6.60159252640114e-03	2.11850139901474e-02,-6.63560613640325e-03	2.11765285390941e-02,-6.46531718831764e-03	2.11763544792691e-02,-6.40494990438882e-03
1.20003397647953e+03	2.15704952399650e-02,-6.67771354071795e-03	2.15732762008418e-02,-6.71203688625094e-03	2.15646410621281e-02,-6.54018229629995e-03	2.15644680679051e-02,-6.47923958745474e-03
1.21003417628353e+03	2.19630834573231e-02,-6.75444635663879e-03	2.19659093297247e-02,-6.78908010585288e-03	2.19571230252293e-02,-6.61565608982330e-03	2.19569512577769e-02,-6.55413604815370e-03
1.22003437608752e+03	2.23600752068690e-02,-6.83180053193526e-03	2.23629463020926e-02,-6.86674536167453e-03	2.23540073476822e-02,-6.69174808515757e-03	2.23538369729689e-02,-6.62964877777427e-03
1.23003457589152e+03	2.27615039198170e-02,-6.90978577242255e-03	2.27644205472445e-02,-6.94504236832171e-03	2.27553274527093e-02,-6.76846794613068e-03	2.27551586415931e-02,-6.70578741488166e-03
1.24003477569552e+03	2.31674035389887e-02,-6.98841193506769e-03	2.31703660060515e-02,-7.02398099165052e-03	2.31611172750414e-02,-6.84582548722779e-03	2.31609502033600e-02,-6.78256174841212e-03
1.25003497549951e+03	2.35778085265330e-02,-7.06768903117397e-03	2.35808171386763e-02,-7.10357125195354e-03	2.35714112686369e-02,-6.92383067676675e-03	2.35712461173000e-02,-6.85998172084312e-03
