Freq.	I(C1)	I(C2)	I(C3)	I(C4)
5.00019990199803e+02	3.49717106703123e-03,-2.36173925771935e-03	3.49791335078129e-03,-2.44101530753762e-03	3.49639624483465e-03,-2.37197953081582e-03	3.49616011206365e-03,-2.28156542285949e-03
5.10020190003799e+02	3.64050601557940e-03,-2.41197913695952e-03	3.64127829027181e-03,-2.49284416388683e-03	3.63969938434625e-03,-2.42240734964454e-03	3.63945391924899e-03,-2.33017346714499e-03
5.20020389807795e+02	3.78684581281324e-03,-2.46240312295096e-03	3.78764867253744e-03,-2.54485733791019e-03	3.78600670175199e-03,-2.47301825251295e-03	3.78575173651749e-03,-2.37896389736047e-03
5.30020589611792e+02	3.93620055422100e-03,-2.51301538183373e-03	3.93703459307434e-03,-2.59705900025595e-03	3.93532829008725e-03,-2.52381638340579e-03	3.93506365795309e-03,-2.42794084247854e-03
5.40020789415788e+02	4.08858056080106e-03,-2.56382011406597e-03	4.08944637288841e-03,-2.64945335591307e-03	4.08767446784547e-03,-2.57480592049788e-03	4.08740000312308e-03,-2.47710846558148e-03
5.50020989219784e+02	4.24399638086153e-03,-2.61482155527555e-03	4.24489456029493e-03,-2.70204464506342e-03	4.24305578077745e-03,-2.62599107700284e-03	4.24277131887778e-03,-2.52647096470798e-03
5.60021189023780e+02	4.40245879186401e-03,-2.66602397712386e-03	4.40338993276220e-03,-2.75483714394612e-03	4.40148300373483e-03,-2.67737610203374e-03	4.40118838119432e-03,-2.57603257371201e-03
5.70021388827776e+02	4.56397880231160e-03,-2.71743168818203e-03	4.56494349879957e-03,-2.80783516573430e-03	4.56296714255784e-03,-2.72896528147636e-03	4.56266219706467e-03,-2.62579756313404e-03
5.80021588631772e+02	4.72856765368340e-03,-2.76904903481955e-03	4.72956649989187e-03,-2.86104306142422e-03	4.72751943600953e-03,-2.78076293887457e-03	4.72720400643030e-03,-2.67577024108460e-03
5.90021788435768e+02	4.89623682241316e-03,-2.82088040210640e-03	4.89727041247804e-03,-2.91446522073802e-03	4.89515135775412e-03,-2.83277343632940e-03	4.89482528416076e-03,-2.72595495414128e-03
6.00021988239764e+02	5.06699802191605e-03,-2.87293021472813e-03	5.06806694997783e-03,-2.96810607303931e-03	5.06587461838344e-03,-2.88500117541094e-03	5.06553774208061e-03,-2.77635608825870e-03
6.10022188043760e+02	5.24086320466181e-03,-2.92520293791502e-03	5.24196806486500e-03,-3.02197008826295e-03	5.23970116748988e-03,-2.93745059808420e-03	5.23935333104258e-03,-2.82697806969238e-03
