Freq.	I(C1)	I(C2)	I(C3)	I(C4)
8.40026783535671e+02	1.01315930362093e-02,-4.33871407836951e-03	1.01321431821820e-02,-4.24735971601365e-03	1.01279906867582e-02,-4.13757779284069e-03	1.01285153549827e-02,-4.19924725869306e-03
8.50026983339667e+02	1.03842982357362e-02,-4.39950550261505e-03	1.03848607171312e-02,-4.30707032185850e-03	1.03806062599736e-02,-4.19592588879438e-03	1.03811452478382e-02,-4.25829316616286e-03
8.60027183143663e+02	1.06404923156980e-02,-4.46064977514185e-03	1.06410672364163e-02,-4.36713402869935e-03	1.06367094886917e-02,-4.25462499750553e-03	1.06372630542000e-02,-4.31768872273444e-03
8.70027382947659e+02	1.09001943503266e-02,-4.52215283097202e-03	1.09007818126328e-02,-4.42755677540255e-03	1.08963194409873e-02,-4.31368102618638e-03	1.08968878456471e-02,-4.37743981503377e-03
8.80027582751655e+02	1.11634237298365e-02,-4.58402067794733e-03	1.11640238343301e-02,-4.48834457368828e-03	1.11594555008238e-02,-4.37309995462343e-03	1.11600390097122e-02,-4.43755240208261e-03
8.90027782555652e+02	1.14302001641803e-02,-4.64625939823858e-03	1.14308130097666e-02,-4.54950350964038e-03	1.14261373718078e-02,-4.43288783668204e-03	1.14267362536379e-02,-4.49803251680000e-03
9.00027982359648e+02	1.17005436868807e-02,-4.70887514988423e-03	1.17011693707414e-02,-4.61103974524566e-03	1.16963850810208e-02,-4.49305080184050e-03	1.16969996082083e-02,-4.55888626753297e-03
9.10028182163644e+02	1.19744746589409e-02,-4.77187416835863e-03	1.19751132765042e-02,-4.67295951996278e-03	1.19702189829282e-02,-4.55359505675348e-03	1.19708494316601e-02,-4.62011983961654e-03
9.20028381967640e+02	1.22520137728332e-02,-4.83526276817114e-03	1.22526654177433e-02,-4.73526915232201e-03	1.22476597633671e-02,-4.61452688684632e-03	1.22483064136710e-02,-4.68173949696468e-03
9.30028581771636e+02	1.25331820565710e-02,-4.89904734449552e-03	1.25338468206576e-02,-4.79797504155525e-03	1.25287284436175e-02,-4.67585265793950e-03	1.25293915794322e-02,-4.74375158369125e-03
9.40028781575632e+02	1.28180008778596e-02,-4.96323437483306e-03	1.28186788511064e-02,-4.86108366925985e-03	1.28134463845523e-02,-4.73757881790684e-03	1.28141262937992e-02,-4.80616252576469e-03
9.50028981379628e+02	1.31064919483344e-02,-5.02783042070736e-03	1.31071832188478e-02,-4.92460160109408e-03	1.31018352908743e-02,-4.79971189836519e-03	1.31025322655306e-02,-4.86897883269409e-03
9.60029181183624e+02	1.33986773278824e-02,-5.09284212939341e-03	1.33993819818590e-02,-4.98853548850681e-03	1.33939172154371e-02,-4.86225851639835e-03	1.33946315516094e-02,-4.93220709924946e-03
