Cells,Levels,DeviceVendor,Vcell_V,Required_Device_V,Device_V,Parallel,RDSon_mOhm,Coss_pF,D_FOM_norm,Pcond_W,Psw_W,Psemi_W,Efficiency_pct,Total_Switches,Gate_Drivers,Practical_Score_W
9,10,EPC2034C | EPC,133.333333333333,200,200,8,8,641,0.415429781402503,1382.4,246.144,1628.544,94.8510307651215,432,54,1642.044
9,10,EPC2307 | EPC,133.333333333333,200,200,6,10,343,0.507954223047087,2304,98.784,2402.784,92.5846371719171,324,54,2416.284
9,10,EPC2307 | EPC,133.333333333333,200,200,7,10,343,0.507954223047087,1974.85714285714,115.248,2090.10514285714,93.48676131302,378,54,2103.60514285714
9,10,EPC2307 | EPC,133.333333333333,200,200,8,10,343,0.507954223047087,1728,131.712,1859.712,94.162809757979,432,54,1873.212
9,10,EPC7030MSH | EPC Space,133.333333333333,200,300,7,26,235,0.380584441596005,5134.62857142857,78.96,5213.58857142857,85.194384375642,378,54,5227.08857142857
9,10,EPC7030MSH | EPC Space,133.333333333333,200,300,8,26,235,0.380584441596005,4492.8,90.24,4583.04,86.7477237397291,432,54,4596.54
9,10,GS-065-060-5-T-A | Infineon / GaN Systems,133.333333333333,200,650,6,32,127,0.466653777474796,7372.8,36.576,7409.376,80.1937995437294,324,54,7422.876
9,10,GS-065-060-5-T-A | Infineon / GaN Systems,133.333333333333,200,650,7,32,127,0.466653777474796,6319.54285714286,42.672,6362.21485714286,82.5032251689336,378,54,6375.71485714286
9,10,GS-065-060-5-T-A | Infineon / GaN Systems,133.333333333333,200,650,8,32,127,0.466653777474796,5529.6,48.768,5578.368,84.3208997107456,432,54,5591.868
9,10,LMG3522R030-Q1 | Texas Instruments,133.333333333333,200,650,6,35,235,0.328022536107702,8064,67.68,8131.68,78.6747397439609,324,54,8145.18
9,10,LMG3522R030-Q1 | Texas Instruments,133.333333333333,200,650,7,35,235,0.328022536107702,6912,78.96,6990.96,81.100896002699,378,54,7004.46
9,10,LMG3522R030-Q1 | Texas Instruments,133.333333333333,200,650,8,35,235,0.328022536107702,6048,90.24,6138.24,83.0145574327914,432,54,6151.74
10,11,EPC2304 | EPC,120,180,200,3,5,704,0.501418442566141,2560,91.2384,2651.2384,91.8801291163278,180,60,2666.2384
10,11,EPC2304 | EPC,120,180,200,4,5,704,0.501418442566141,1920,121.6512,2041.6512,93.6281336212785,240,60,2056.6512
10,11,EPC2304 | EPC,120,180,200,5,5,704,0.501418442566141,1536,152.064,1688.064,94.6728711479502,300,60,1703.064
10,11,EPC2304 | EPC,120,180,200,6,5,704,0.501418442566141,1280,182.4768,1462.4768,95.351679369375,360,60,1477.4768
10,11,EPC2304 | EPC,120,180,200,7,5,704,0.501418442566141,1097.14285714286,212.8896,1310.03245714286,95.8159338897651,420,60,1325.03245714286
10,11,EPC2304 | EPC,120,180,200,8,5,704,0.501418442566141,960,243.3024,1203.3024,96.14366971619,480,60,1218.3024
10,11,EPC2034C | EPC,120,180,200,7,8,641,0.415429781402503,1755.42857142857,193.8384,1949.26697142857,93.8988679359318,420,60,1964.26697142857
10,11,EPC2034C | EPC,120,180,200,8,8,641,0.415429781402503,1536,221.5296,1757.5296,94.4657861548525,480,60,1772.5296
10,11,EPC2307 | EPC,120,180,200,6,10,343,0.507954223047087,2560,88.9056,2648.9056,91.8866940520052,360,60,2663.9056
10,11,EPC2307 | EPC,120,180,200,7,10,343,0.507954223047087,2194.28571428571,103.7232,2298.00891428571,92.8849827232871,420,60,2313.00891428571
10,11,EPC2307 | EPC,120,180,200,8,10,343,0.507954223047087,1920,118.5408,2038.5408,93.6372233282235,480,60,2053.5408
10,11,EPC7030MSH | EPC Space,120,180,300,7,26,235,0.380584441596005,5705.14285714286,71.064,5776.20685714286,83.854613541878,420,60,5791.20685714286
10,11,EPC7030MSH | EPC Space,120,180,300,8,26,235,0.380584441596005,4992,81.216,5073.216,85.5353555259945,480,60,5088.216
10,11,GS-065-060-5-T-A | Infineon / GaN Systems,120,180,650,6,32,127,0.466653777474796,8192,32.9184,8224.9184,78.482835950279,360,60,8239.9184
10,11,GS-065-060-5-T-A | Infineon / GaN Systems,120,180,650,7,32,127,0.466653777474796,7021.71428571429,38.4048,7060.11908571429,80.9495510001322,420,60,7075.11908571429
10,11,GS-065-060-5-T-A | Infineon / GaN Systems,120,180,650,8,32,127,0.466653777474796,6144,43.8912,6187.8912,82.9006582179621,480,60,6202.8912
10,11,LMG3522R030-Q1 | Texas Instruments,120,180,650,6,35,235,0.328022536107702,8960,60.912,9020.912,76.8818524795115,360,60,9035.912
10,11,LMG3522R030-Q1 | Texas Instruments,120,180,650,7,35,235,0.328022536107702,7680,71.064,7751.064,79.4679588368688,420,60,7766.064
10,11,LMG3522R030-Q1 | Texas Instruments,120,180,650,8,35,235,0.328022536107702,6720,81.216,6801.216,81.5190454576284,480,60,6816.216
