Setup1:LastAdaptive
Problem Type:  AC RL
R Units:ohm, L Units:nH
Reduce Matrix:  Original
Frequency:  60kHz

AC Inductance Matrix
,BASBARNEG:Cap1Neg,BASBARNEG:Cap2Neg,BASBARNEG:Cap3Neg,BASBARNEG:Cap4Neg,BASBARPOS:Cap1Pos,BASBARPOS:Cap2Pos,BASBARPOS:Cap3Pos,BASBARPOS:Cap4Pos,
,BASBARNEG:Cap1Neg,BASBARNEG:Cap2Neg,BASBARNEG:Cap3Neg,BASBARNEG:Cap4Neg,BASBARPOS:Cap1Pos,BASBARPOS:Cap2Pos,BASBARPOS:Cap3Pos,BASBARPOS:Cap4Pos,
BASBARNEG:Cap1Neg,1.000000000000000E+00,6.283121460573352E-01,5.444477979244791E-01,7.520288716671963E-01,8.464212445715282E-01,6.342637554503266E-01,5.713073393266357E-01,6.865877349867776E-01
BASBARNEG:Cap2Neg,6.283121460573352E-01,1.000000000000000E+00,8.537385820770519E-01,5.107868345279817E-01,5.571055305893774E-01,9.015416660891410E-01,8.696352396538206E-01,4.675658433223834E-01
BASBARNEG:Cap3Neg,5.444477979244791E-01,8.537385820770519E-01,1.000000000000000E+00,4.826261388537319E-01,4.982869942423870E-01,7.555595870226498E-01,9.308928535691442E-01,4.546770813673650E-01
BASBARNEG:Cap4Neg,7.520288716671963E-01,5.107868345279817E-01,4.826261388537319E-01,1.000000000000000E+00,7.988846622364250E-01,5.032715774881279E-01,4.966543477332375E-01,9.157405092929038E-01
BASBARPOS:Cap1Pos,8.464212445715282E-01,5.571055305893774E-01,4.982869942423870E-01,7.988846622364250E-01,1.000000000000000E+00,6.599082922729552E-01,6.067128099176828E-01,8.241815711377803E-01
BASBARPOS:Cap2Pos,6.342637554503266E-01,9.015416660891410E-01,7.555595870226498E-01,5.032715774881279E-01,6.599082922729552E-01,1.000000000000000E+00,8.498764137155855E-01,5.363941006689944E-01
BASBARPOS:Cap3Pos,5.713073393266357E-01,8.696352396538206E-01,9.308928535691442E-01,4.966543477332375E-01,6.067128099176828E-01,8.498764137155855E-01,1.000000000000000E+00,5.284058363873912E-01
BASBARPOS:Cap4Pos,6.865877349867776E-01,4.675658433223834E-01,4.546770813673650E-01,9.157405092929038E-01,8.241815711377803E-01,5.363941006689944E-01,5.284058363873912E-01,1.000000000000000E+00

AC Resistance Matrix
,BASBARNEG:Cap1Neg,BASBARNEG:Cap2Neg,BASBARNEG:Cap3Neg,BASBARNEG:Cap4Neg,BASBARPOS:Cap1Pos,BASBARPOS:Cap2Pos,BASBARPOS:Cap3Pos,BASBARPOS:Cap4Pos,
BASBARNEG:Cap1Neg,1.732929903551412E-04,1.835749536168892E-04,1.989799956859103E-04,1.981464339351208E-04,1.264120473844926E-04,1.200756993381371E-04,1.391162651421265E-04,1.495389668962945E-04
BASBARNEG:Cap2Neg,1.835749536168892E-04,5.156290925956361E-04,5.488632166007702E-04,2.239886930015635E-04,1.529495936158157E-04,2.728102068361172E-04,3.520108509080811E-04,1.824640621373912E-04
BASBARNEG:Cap3Neg,1.989799956859103E-04,5.488632166007702E-04,8.265366660364258E-04,2.679720248245721E-04,1.852897713149694E-04,2.989688654019810E-04,4.819732107083969E-04,2.473135948227427E-04
BASBARNEG:Cap4Neg,1.981464339351208E-04,2.239886930015635E-04,2.679720248245721E-04,4.499817048340466E-04,2.177610247145254E-04,1.567642705747121E-04,2.075431960848595E-04,3.342813858715674E-04
BASBARPOS:Cap1Pos,1.264120473844926E-04,1.529495936158157E-04,1.852897713149694E-04,2.177610247145254E-04,4.405994251253058E-04,3.439663793374823E-04,3.840529933819696E-04,4.873488874634705E-04
BASBARPOS:Cap2Pos,1.200756993381371E-04,2.728102068361172E-04,2.989688654019810E-04,1.567642705747121E-04,3.439663793374823E-04,5.819753679867305E-04,6.076113740945450E-04,3.709965164729888E-04
BASBARPOS:Cap3Pos,1.391162651421265E-04,3.520108509080811E-04,4.819732107083969E-04,2.075431960848595E-04,3.840529933819696E-04,6.076113740945450E-04,8.982196278407565E-04,4.430547375124990E-04
