Designator | Quantity | Value | MFG | MFGPN | SchDescript | Footprint | Comment | 
J80 | 1 |  | Samtec | TSM-105-01-L-SV | 100mil SMD | HDR_M10_S5_SM_VT | TSM-105-01-L-SV | 
JOCPn | 1 |  | Tyco | 4-103185-0-02 |  | SIP2.1 | 4-103185-0-02 | 
JP5 | 1 |  | Wurth Electronics | 60900213421 | Jumper | JMP_10_Blk | 60900213421 | 
L1_C1, L1_C2, L1_C3, L1_C4, L1_C5, L1_C6, L1_C7, L1_C8, L2_C1, L2_C2, L2_C3, L2_C4, L2_C5, L2_C6, L2_C7, L2_C8, L3_C1, L3_C2, L3_C3, L3_C4, L3_C5, L3_C6, L3_C7, L3_C8 | 24 | 10pF | KEMET | C0402C100J5GACTU | 10pF 50V | CC0402 | EMPTY | 
L1_Cm1, L1_Cm2, L1_Cm3, L1_Cm4, L1_Cm5, L1_Cm6, L2_Cm1, L2_Cm2, L2_Cm3, L2_Cm4, L2_Cm5, L2_Cm6, L3_Cm1, L3_Cm2, L3_Cm3, L3_Cm4, L3_Cm5, L3_Cm6 | 18 | 1uF | TDK | CGA4J3X7S2A105M125AB | 1uF 100V | CC0805 | CGA4J3X7S2A105M125AB | 
L1_D1, L1_D2, L2_D1, L2_D2, L3_D1, L3_D2 | 6 | SS8PH10-M3/86A Schottky diode | Vishay | SS8PH10-M3/86A |  | V10PN50M387A | SS8PH10-M3/86A | 
L1_Q1, L1_Q2, L1_Q3, L1_Q4, L1_Q5, L1_Q6, L1_Q7, L1_Q8, L2_Q1, L2_Q2, L2_Q3, L2_Q4, L2_Q5, L2_Q6, L2_Q7, L2_Q8, L3_Q1, L3_Q2, L3_Q3, L3_Q4, L3_Q5, L3_Q6, L3_Q7, L3_Q8 | 24 |  | EPC | EPC2302 | 100V, 1.9mE | D0606F_100V | EPC2302 | 
L1_R11, L1_R21, L1_R31, L1_R41, L1_R51, L1_R61, L1_R71, L1_R81, L2_R11, L2_R21, L2_R31, L2_R41, L2_R51, L2_R61, L2_R71, L2_R81, L3_R11, L3_R21, L3_R31, L3_R41, L3_R51, L3_R61, L3_R71, L3_R81 | 24 | 10 | Panasonic | ERJ-2RKF10R0X | 10 0.1W | RC0402 | ERJ-2RKF10R0X | 
L1_R12, L1_R22, L1_R32, L1_R42, L1_R52, L1_R62, L1_R72, L1_R82, L2_R12, L2_R22, L2_R32, L2_R42, L2_R52, L2_R62, L2_R72, L2_R82, L3_R12, L3_R22, L3_R32, L3_R42, L3_R52, L3_R62, L3_R72, L3_R82 | 24 | 0.47 | Susumu | RL0510S-R47-F | 0.47 1/16W | RC0402 | RL0510S-R47-F | 
L90 | 1 | 33uH | Wurth | 7447785133 | 33uH 0.85A | WE-PD_6033R | L_Core | 
OCP1_C9, OCP2_C9, OCP3_C9 | 3 | EMPTY | Panasonic | ECH-U1C102JX5 | 1nF 50V | CC0805 | EMPTY | 
OCP1_C23, OCP2_C23, OCP3_C23 | 3 | 2.2uF | TDK | CGA4J3X7R1E225K125AD | 2.2uF 25V | CC0805 | CGA4J3X7R1E225K125AD | 
OCP1_R9, OCP1_R39, OCP2_R9, OCP2_R39, OCP3_R9, OCP3_R39, R68 | 7 | 110kE | Stackpole | RMCF0805FT110K | 110kE 0.25W | RC0805 | RMCF0805FT110K | 
OCP1_R12, OCP2_R12, OCP3_R12 | 3 | 10kE | Stackpole | RNCP0805FTD10K0 | 10kE 0.25W | RC0805 | EMPTY | 
OCP1_R16, OCP1_R22, OCP2_R16, OCP2_R22, OCP3_R16, OCP3_R22 | 6 | 1.27kE | Panasonic | ERA-6AEB1271V | 1.27kE 0.25W | RC0805 | ERA-6AEB1271V | 
OCP1_R19, OCP1_R24, OCP2_R19, OCP2_R24, OCP3_R19, OCP3_R24 | 6 | 8.06kE | Panasonic | ERA-6AEB8061V | 8.06kE 0.25W | RC0805 | ERA-6AEB8061V | 
OCP1_U2, OCP2_U2, OCP3_U2 | 3 | TLV7022DGKR Dual Comparator | Texas Instruments | TLV7022DGKR |  | MSOP8 | TLV7022DGKR | 
PCB1 | 1 |  |  | B5453 Rev1_0 |  |  | PCB | 
PP1, PP2, PP3, PP10, PP11, PP12 | 6 |  |  |  |  | ProbePoint | ProbePoint | 
R41 | 1 | 7.87kE | Panasonic | ERA-6AEB7871V | 7.87kE 0.25W | RC0805 | ERA-6AEB7871V | 
R78 | 1 | 330E | TE | CRG0805F330R | 330E 0.125W | RC0805 | CRG0805F330R | 
R84, R85, R86, R87, R88, R89 | 6 | 1kE | Stackpole | RNCP0805FTD1K00 | 1kE 0.25W | RC0805 | RNCP0805FTD1K00 | 
R94 | 1 | 40.2kE | Yageo | RT0805BRD0740K2L | 40.2kE 0.125W | RC0805 | RT0805BRD0740K2L | 
R95 | 1 | 9.53kE | Panasonic | ERA-6AEB9531V | 9.53kE 0.125W | RC0805 | ERA-6AEB9531V | 
R96 | 1 | 80.6kE | Panasonic | ERA-6AEB8062V | 80.6kE 0.125W | RC0805 | ERA-6AEB8062V | 
R97 | 1 | 2k | Vishay Dale | RCS04022K00FKED | 2k 0.2W 1% | RC0402 | RCS04022K00FKED | 
R100, R101 | 2 | 0E | Panasonic | ERJ-3GEY0R00V | 0E 0.1W | RC0603 | ERJ-3GEY0R00V | 
S1, S2, S3, S4, S5, S6, S7, S8 | 8 | Standoff M2 | Wurth | 9774010243R |  | 9774010243R | 9774010243R | 
SC1, SC2, SC3, SC4, SC5, SC6, SC7, SC8 | 8 | M2-0.4 5mm 18-8 | McMasterCarr | 91698A201 |  |  | M2 Screw | 
SO4, SO5, SO6, SO7 | 4 |  | Keystone | 8834 | 8834 Nylon Standoff | 8834 Nylon Standoff | PopInStandOff | 
TIM1, TIM2 | 2 | 40 mm x 40 mm | t-Global | TG-A1780-40-40-0.5 |  |  | ThermalMaterial | 
TPGND, TPGND2, TPPh1, TPPh2, TPPh3, TPVIN | 6 |  | Keystone | 5015 |  | 5015 | Keystone5015 | 
U40 | 1 | Temperature Current Source | Analog | AD590JCPZ-R5 |  | MO-229 | AD590JCPZ-R5 | 
U90 | 1 |  | Monolithic Power Systems | MP4581 | Buck 100V, 800mA | SO-8-EP | MP4581 | 
U100 | 1 |  | Texas Instruments | TLV75533PDRVR | Linear Regulator 3v3 500mA 6-WSON (2x2) | 6-WSON | TLV75533PDRVR | 
